wiki_data_id;title;main_subject;follows;genre;performer;country_of_origin;original_language_of_film_or_TV_show;publication_date;director;screenwriter;cast_member;director_of_photography;film_editor;production_designer;costume_designer;composer;producer;production_company;distributed_by;narrative_location;filming_location;duration;award_received;nominated_for;box_office;cost;collection;imdb_id;metascore;imdbrating;imdbvotes
Q1002100;Miracle at St. Anna;World War II;?;action film,war film,historical drama;?;United States of America,Italy;?;2008-09-07T00:00:00Z,2008-01-01T00:00:00Z;Spike Lee;James McBride;Giselda Volodi,Kai Meyer,Alexander Beyer,Michael DenDekker,Massimo De Santis,Chiara Francini,Jan Pohl,Omari Hardwick,Sascha Heymans,Robert John Burke,Waldemar Kobus,Peter Frechette,De'Adre Aziza,Oliver Korittke,Tom Sommerlatte,Colman Domingo,René Wedeward,John Hawkes,Curt Lowens,Giulia Weber,Douglas M. Griffin,Torsten Knippertz,David Bredin,Lemon Andersen,Cédric Ido,Claudius von Stolzmann,Marcia Jean Kurtz,Thomas M. Held,Rebecca Naomi Jones,Timo Jacobs,Agnese Nano,Lidia Biondi,Stephen Taylor,Siggi Kautz,Malcolm Goodwin,Brad Leland,Michele De Virgilio,Ralph Palka,André Holland,Massimo Sarchielli,Michael K. Williams,Tory Kittles,Jeff Fischer,Christian Berkel,Michael Ealy,Luigi Lo Cascio,Derek Luke,John Leguizamo,Omar Benson Miller,Omero Antonutti,Sergio Albelli,Laz Alonso,Valentina Cervi,D. B. Sweeney,Joseph Gordon-Levitt,John Turturro,Walton Goggins,Kerry Washington,Pierfrancesco Favino,Alexandra Maria Lara;Matthew Libatique;Barry Alexander Brown;Tonino Zera;?;Terence Blanchard;Spike Lee;Touchstone Pictures,RAI,Rai Cinema,40 Acres & A Mule Filmworks;Walt Disney Studios Motion Pictures,Netflix;Italy,New York City;Rome,The Bahamas,New York City;160;?;NAACP Image Award for Outstanding Actor in a Motion Picture,NAACP Image Award for Outstanding Motion Picture;?;?;?;?;37;6.1;18,060
Q1003845;Frequency;time loop,serial killer,time travel;?;science fiction film,action film,fantasy film;?;United States of America;?;2000-01-01T00:00:00Z,2000-08-24T00:00:00Z,2000-04-28T00:00:00Z;Gregory Hoblit;Toby Emmerich;Melissa Errico,Marin Hinkle,Nesbitt Blaisdell,Stephen Joffe,Timothy Brown,Catherine Burdon,David Huband,Kirsten Bishopric,Jordan Bridges,Peter MacNeill,Michael Cera,Terry Serpico,Dan Johnson,Colm Magner,Dick Cavett,Jennifer Baxter,Brian Greene,Jim Caviezel,Andre Braugher,Shawn Doyle,Noah Emmerich,Dennis Quaid,Elizabeth Mitchell;Alar Kivilo;David Rosenbloom;?;?;Michael Kamen;Toby Emmerich,Gregory Hoblit,Hawk Koch;New Line Cinema;New Line Cinema,Netflix;New York City;New York City,Toronto;118;?;Hugo Award for Best Dramatic Presentation;?;31000000;?;?;67;7.3;102,257
Q1004531;Bullets Over Broadway;?;?;gangster film,satirical film,comedy film;?;United States of America;?;1995-04-20T00:00:00Z,1994-09-16T00:00:00Z;Woody Allen;Douglas McGrath,Woody Allen;Nina von Arx,Dayle Haddon,Małgorzata Zajączkowska,Lisa Arturo,Jennifer Van Dyck,Stacey Nelkin,Benay Venuta,Brian McConnachie,Jim Broadbent,Harvey Fierstein,Debi Mazar,Paul Herman,John Ventimiglia,Edie Falco,Tracey Ullman,Jack Warden,Tony Sirico,Chazz Palminteri,Dianne Wiest,Mary-Louise Parker,Jennifer Tilly,John Cusack,Rob Reiner,Tony Darrow,Joe Viterelli;Carlo Di Palma;Susan E. Morse;Santo Loquasto;?;Dick Hyman;Walter E. Rollins,Robert Greenhut,Jacqui Safra,Jean Doumanian,Charles H. Joffe,Letty Aronson,Jack Rollins;Miramax;Miramax,Netflix;New York City;?;98;Golden Globe Award for Best Supporting Actress – Motion Picture,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role,National Board of Review: Top Ten Films,Academy Award for Best Supporting Actress,National Society of Film Critics Award for Best Supporting Actress,Independent Spirit Award for Best Supporting Female,Independent Spirit Award for Best Supporting Male;Academy Award for Best Costume Design,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role,Academy Award for Best Supporting Actress,Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role,Academy Award for Best Supporting Actor,Independent Spirit Award for Best Supporting Male,Golden Globe Award for Best Supporting Actress – Motion Picture,National Society of Film Critics Award for Best Supporting Actress,Independent Spirit Award for Best Screenplay,Writers Guild of America Award for Best Original Screenplay,Academy Award for Best Supporting Actress,Academy Award for Best Director,Academy Award for Best Writing, Original Screenplay,Independent Spirit Award for Best Supporting Female,BAFTA Award for Best Original Screenplay,Academy Award for Best Production Design;?;?;?;?;N/A;7.4;35,903
Q1004657;Bully;revenge;?;rape and revenge film,drama,independent film,LGBT-related film,crime film,teen film;?;United States of America,France;?;2001-06-15T00:00:00Z,2001-01-01T00:00:00Z;Larry Clark;David McKenna;Larry Clark,Tiffany Limos,Nathalie Paulding,Daniel Franzese,Ed Amatrudo,Jessica Sutta,Kelli Garner,Leo Fitzpatrick,Bijou Phillips,Rachel Miner,Nick Stahl,Brad Renfro,Michael Pitt;Steve Gainer;Andrew Hafitz;?;?;?;David McKenna,Chris Hanley,Don Murphy;Lionsgate,Film4 Productions,Gravity Entertainment,StudioCanal;Netflix,Lionsgate;Florida;Los Angeles,Florida;113;?;?;?;?;?;?;45;6.9;34,963
Q1009788;The Conversation;guilt,responsibility,privacy,power,paranoia,social alienation,Cold War;?;thriller film,drama,psychological thriller,crime film,mystery film;?;United States of America;?;1974-01-01T00:00:00Z;Francis Ford Coppola;Francis Ford Coppola;Ramon Bieri,Gian-Carlo Coppola,Billy Dee Williams,Robert Shields,Elizabeth MacRae,Michael Higgins,Cindy Williams,John Cazale,Gene Hackman,Robert Duvall,Teri Garr,Allen Garfield,Harrison Ford,Frederic Forrest;Haskell Wexler,Bill Butler;Richard Chew;Dean Tavoularis;?;David Shire;Francis Ford Coppola;American Zoetrope,Paramount Pictures;FandangoNow,Netflix,Paramount Pictures;San Francisco;San Francisco;109;National Board of Review: Top Ten Films,National Society of Film Critics Award for Best Director,National Board of Review Award for Best Actor,Palme d'Or,BAFTA Award for Best Sound,National Film Registry,National Board of Review Award for Best Director,BAFTA Award for Best Editing,National Board of Review Award for Best Film;BAFTA Award for Best Direction,Golden Globe Award for Best Actor – Motion Picture Drama,Academy Award for Best Writing, Original Screenplay,Golden Globe Award for Best Director,BAFTA Award for Best Actor in a Leading Role,BAFTA Award for Best Sound,Golden Globe Award for Best Motion Picture – Drama,Academy Award for Best Sound,Directors Guild of America Award for Outstanding Directing – Feature Film,Academy Award for Best Picture,BAFTA Award for Best Editing,Golden Globe Award for Best Screenplay;?;?;?;?;85;7.8;100,830
Q102225;Harry Potter and the Goblet of Fire;?;?;children's film,fantasy film,film based on a novel,adventure film;?;United Kingdom,United States of America;?;2005-11-06T00:00:00Z,2005-11-30T00:00:00Z,2005-11-16T00:00:00Z;Mike Newell;Steve Kloves;Jarvis Cocker,Henry Lloyd-Hughes,Natalie Hallam,Steve Mackey,Ian Whyte,Robert Wilfort,Anne Lacey,Margery Mason,Angelica Mandy,Steven Claydon,Jonny Greenwood,Louis Doyle,Su Elliot,Tiana Benjamin,Sarah Harrison,Sheila Allen,Funda Önal,Devon Murray,Alfred Enoch,Alex Palmer,David Sterne,Richard Rosson,Philip Selway,Joshua Herdman,Gary Oldman,Bonnie Wright,William Melling,Stanislav Ianevski,Daniel Radcliffe,Roger Lloyd-Pack,Maggie Smith,Jason Isaacs,Jeff Rawle,Tolga Safer,Clémence Poésy,Matthew Lewis,Emma Watson,Adrian Rawlins,Tom Felton,Rupert Grint,Shirley Henderson,Alan Rickman,Robbie Coltrane,David Bradley,Warwick Davis,Predrag Bjelac,Shefali Chowdhury,Miranda Richardson,Robert Hardy,Eric Sykes,Frances de la Tour,Geraldine Somerville,Mark Williams,Robert Pattinson,David Tennant,Afshan Azad,Jamie Waylett,Katie Leung,James Phelps,Timothy Spall,Brendan Gleeson,Ralph Fiennes,Oliver Phelps,Michael Gambon;Roger Pratt;Mick Audsley;Stuart Craig;Jany Temime;Patrick Doyle;David Heyman;Heyday Films,Warner Bros.;FandangoNow,Warner Bros.,Netflix;Scotland,England;Pinewood Studios,New College;151;Kids' Choice Award for Favorite Movie,Teen Choice Award for Choice Movie - Drama;MTV Movie Award for Best Villain,Saturn Award for Best Costume,MTV Movie Award for Best On-Screen Duo,Teen Choice Award for Choice Movie - Drama,BAFTA Award for Best Special Visual Effects,Satellite Award for Best Costume Design,Broadcast Film Critics Association Award for Best Family Film,Kids' Choice Award for Favorite Movie,MTV Movie Award for Best Hero,Academy Award for Best Production Design,BAFTA Award for Best Makeup and Hair,Hugo Award for Beast Dromatic Presentation (Long Form);895921036;150000000;?;?;81;7.7;559,741
Q102235;Harry Potter and the Order of the Phoenix;?;?;film based on a novel,fantasy film,children's film;?;United States of America,United Kingdom;?;2007-06-28T00:00:00Z,2007-07-11T00:00:00Z;David Yates;Michael Goldenberg;Peter Cartwright,Chris Rankin,John Atterbury,Apple Brook,Richard Leaf,Miles Jupp,Jason Piper,Rusty Goffe,Natalie Hallam,Richard Cubison,Nick Shirm,Sian Thomas,Robert Pattinson,Daisy Haggard,Michael Wildman,Jessica Hynes,Jim McManus,Alfred Enoch,John Atterbury,Geraldine Somerville,Sam Beazley,Adrian Rawlins,Simon McBurney,Devon Murray,Timothy Spall,Sarah Harrison,Robbie Jarvis,Timothy Bateson,Ray Donn,Tony Maudsley,Oliver Phelps,James Phelps,Matthew Lewis,Robert Hardy,Devon Murray,Jamie Waylett,Emma Thompson,Ralph Fiennes,Michael Gambon,Imelda Staunton,Shefali Chowdhury,Richard Griffiths,Fiona Shaw,Alan Rickman,Mark Williams,Warwick Davis,Katie Leung,Rupert Grint,George Harris,Gary Oldman,Arben Bajraktaraj,Maggie Smith,David Thewlis,Helena Bonham Carter,David Bradley,Emma Watson,Afshan Azad,Joshua Herdman,Bonnie Wright,Natalya Tena,Harry Melling,William Melling,Evanna Lynch,Tom Felton,Kathryn Hunter,Daniel Radcliffe,Brendan Gleeson,Jason Isaacs,Julie Walters,Robbie Coltrane;Sławomir Idziak;Mark Day;Stuart Craig;?;Nicholas Hooper;David Barron,David Heyman;Heyday Films,Warner Bros.;Warner Bros.,FandangoNow,Netflix;Harry Potter universe,Hogwarts,London,England;Turkey,Hertfordshire,London,Oxfordshire;133;European Film Award – People's Choice Award for Best European Film;Broadcast Film Critics Association Award for Best Family Film,MTV Movie Award for Best Kiss,Costume Designers Guild Award for Excellence in Fantasy Costume Design for Film,Saturn Award for Best Costume,European Film Award – People's Choice Award for Best European Film,Hugo Award for Beast Dromatic Presentation (Long Form),MTV Movie Award for Best Summer Movie You Haven't Seen Yet,BAFTA Award for Best Special Visual Effects;941676843;150000000;Museum of Modern Art;?;71;7.5;522,195
Q102244;Harry Potter and the Chamber of Secrets;?;?;fantasy film,film based on a novel,adventure film,children's film;?;United Kingdom,United States of America;?;2002-11-14T00:00:00Z,2002-11-03T00:00:00Z,2002-12-04T00:00:00Z;Chris Columbus;J. K. Rowling,Steve Kloves;Adrian Rawlins,Scott Fern,Louis Doyle,Les Bubb,David Holmes,Toby Jones,Heather Bleasdale,Emily Dale,Jamie Yeates,Martin Bayfield,Julian Glover,Leslie Phillips,James Phelps,Daisy Bates,Gemma Padley,Eleanor Columbus,Alfred Burke,Danielle Tabor,Sean Cronin,Geraldine Somerville,Jim Norton,Edward Tudor-Pole,Hugh Mitchell,Luke Youngblood,Oliver Phelps,Joshua Herdman,Emma Watson,Fiona Shaw,David Bradley,Jason Isaacs,Maggie Smith,Robbie Coltrane,Bonnie Wright,Shirley Henderson,Gemma Jones,Sally Mortemore,Robert Hardy,Alan Rickman,Daniel Radcliffe,Rupert Grint,Chris Rankin,Matthew Lewis,Alfred Enoch,Mark Williams,Kenneth Branagh,Miriam Margolyes,Christian Coulson,Jamie Waylett,Devon Murray,Sean Biggerstaff,Edward Randell,Harry Melling,Tom Felton,Warwick Davis,Julie Walters,John Cleese,Richard Griffiths,Richard Harris;Roger Pratt;Peter Honess;Stuart Craig;Lindy Hemming;John Williams;David Heyman;Warner Bros.,1492 Pictures,Heyday Films;FandangoNow,Netflix,Warner Bros.;London,England;Gloucester Cathedral,Hertfordshire,London,Oxfordshire;161;Broadcast Film Critics Association Award for Best Family Film;Broadcast Film Critics Association Award for Best Composer,Broadcast Film Critics Association Award for Best Young Performer,2003 MTV Movie Awards,Saturn Award for Best Special Effects,Kids' Choice Award for Favorite Movie,BAFTA Award for Best Sound,Broadcast Film Critics Association Award for Best Family Film,Saturn Award for Best Costume,BAFTA Award for Best Special Visual Effects,Hugo Award for Beast Dromatic Presentation (Long Form),Japan Academy Prize for Outstanding Foreign Language Film;878979634;100000000;?;?;63;7.4;565,759
Q102438;Harry Potter and the Sorcerer's Stone;?;?;children's film,speculative fiction film,fantasy film,film based on a novel,adventure film;?;United States of America,United Kingdom;?;2001-11-30T00:00:00Z,2001-12-05T00:00:00Z,2001-11-04T00:00:00Z,2001-11-22T00:00:00Z,2001-11-16T00:00:00Z,2018-09-12T00:00:00Z;Chris Columbus;J. K. Rowling,Steve Kloves;Danielle Tabor,Richard Reid,Ian Hart,Derek Hough,Stefan Pejic,Leslie Phillips,David Holmes,Scott Fern,Will Theakston,Ray Fearon,David Brett,Alfred Enoch,Julianne Hough,Luke Youngblood,Richard Bremmer,Paul Marc Davis,Emily Dale,Leilah Sutherland,Eleanor Columbus,Miles Richardson,Verne Troyer,Emma Watson,Warwick Davis,Harry Melling,Terence Bayler,Adrian Rawlins,Matthew Lewis,Sean Biggerstaff,Daniel Radcliffe,Derek Deadman,Nina Young,Tamara Taylor,Devon Murray,David Bradley,Chris Rankin,Julie Walters,Bonnie Wright,Robbie Coltrane,Rupert Grint,Simon Fisher-Becker,Fiona Shaw,Oliver Phelps,Tom Felton,John Cleese,James Phelps,Richard Harris,Joshua Herdman,Zoë Wanamaker,John Hurt,Jamie Waylett,Geraldine Somerville,Jean Southern,Elizabeth Spriggs,Alan Rickman,Richard Griffiths,Maggie Smith;John Seale;Richard Francis-Bruce;Stuart Craig;Judianna Makovsky;John Williams;David Heyman;Heyday Films,1492 Pictures,Warner Bros.;Warner Bros.,FandangoNow,Netflix,iTunes;England,London;London Zoo,Glen Nevis,Warner Bros. Studios, Leavesden,Gloucester Cathedral,Alnwick Castle,Leadenhall Market,Durham Cathedral,Harrow School,Goathland railway station,Christ Church;152,142,153;Broadcast Film Critics Association Award for Best Family Film,Saturn Award for Best Costume;Broadcast Film Critics Association Award for Best Young Performer,BAFTA Award for Best Actor in a Supporting Role,Kids' Choice Award for Favorite Movie,Japan Academy Prize for Outstanding Foreign Language Film,BAFTA Award for Best British Film,Hugo Award for Best Dramatic Presentation,BAFTA Award for Best Makeup and Hair,BAFTA Award for Best Special Visual Effects,Saturn Award for Best Costume,Satellite Award for Best Visual Effects,Academy Award for Best Original Score,Academy Award for Best Costume Design,Producers Guild of America Award for Best Theatrical Motion Picture,Satellite Award for Best Editing,Academy Award for Best Production Design,BAFTA Award for Best Sound,Broadcast Film Critics Association Award for Best Composer,Satellite Award for Best Art Direction and Production Design,Satellite Award for Best Animated or Mixed Media Feature,Broadcast Film Critics Association Award for Best Family Film;978087613,48137835,65216953,317557891;125000000;?;?;64;7.6;674,212
Q1024838;Cabin Fever;epidemic;?;splatter film,comedy horror;?;United States of America;?;2002-09-14T00:00:00Z;Eli Roth;Randy Pearlstein,Eli Roth;Shiloh Strong,Robert Harris,Jordan Ladd,Eli Roth,Cerina Vincent,Arie Verveen,Rider Strong,Joey Kern,James DeBello,Giuseppe Andrews;Scott Kevan;?;Franco-Giacomo Carbone;?;Nathan Barr,Angelo Badalamenti;Eli Roth;?;Netflix,Lionsgate;?;North Carolina;93;?;Producers Award;?;?;?;?;56;5.7;74,669
Q1027175;The Wedding Date;?;?;romantic comedy;?;United States of America;?;2005-01-01T00:00:00Z;Clare Kilner;Elizabeth Young,Dana Fox;Peter Egan,Jay Simon,David Nobbs,Stephen Lobo,Jolyon James,Sarah Parish,Lisa-Marie Long,Ivana Horvat,Kerry Shale,Jeremy Sheffield,Amy Adams,Jack Davenport,Debra Messing,Dermot Mulroney,Holland Taylor;?;?;?;?;Blake Neely;Paul Brooks,Jessica Bendinger;Gold Circle Films,Universal Pictures;Netflix,Universal Pictures;London;London;86;?;?;?;?;?;?;32;6.2;49,286
Q1027247;An Ideal Husband;cabal,social prestige,secrecy;?;historical drama,film based on literature,romantic comedy,costume drama,comedy film;?;United States of America,United Kingdom;?;1999-12-23T00:00:00Z,1999-04-16T00:00:00Z;Oliver Parker;Oliver Parker;Marsha Fitzalan,Ben Pullen,Susannah Wise,Peter Parker,Charles Edwards,Janet Henfrey,Jill Balcon,Nancy Carroll,Neville Phillips,John Wood,Doug Bradley,Nickolas Grace,Andrew Harrison,Michael Culkin,Oliver Ford Davies,Oliver Parker,Nancy Carroll,Julianne Moore,Jeremy Northam,Cate Blanchett,Rupert Everett,Simon Russell Beale,Jeroen Krabbé,Lindsay Duncan,Peter Vaughan,Minnie Driver;David Johnson;Guy Bensley;Michael Howells;Caroline Harris;Charlie Mole;Barnaby Thompson,Uri Fruchtmann,Bruce Davey;Fragile Films,Arts Council England,Miramax,Pathé,Icon Productions;Miramax,Netflix;London;?;97;London Film Critics Circle Award for Actor of the Year,National Board of Review Award for Best Supporting Actress;Chicago Film Critics Association Award for Best Supporting Actress,BAFTA Award for Best Adapted Screenplay,National Society of Film Critics Award for Best Supporting Actress,Satellite Award for Best Costume Design,Golden Globe Award for Best Actress – Motion Picture Musical or Comedy,London Film Critics Circle Award for Actor of the Year,European Film Award for Best Actor,Satellite Award for Best Actress – Motion Picture Musical or Comedy,Chlotrudis Award for Best Supporting Actress,Satellite Award for Best Art Direction and Production Design,BAFTA Award for Best Makeup and Hair,Satellite Award for Best Actor in a Musical or Comedy,Chlotrudis Award for Best Actor,Chlotrudis Award for Best Actress;?;14000000;?;?;67;6.8;15,239
Q102754;Dr. No;terrorism;?;film based on a novel,action film,spy film;?;United Kingdom;?;1963-01-25T00:00:00Z,1962-10-05T00:00:00Z;Terence Young;Wolf Mankowitz,Ian Fleming,Terence Young,Johanna Harwood,Richard Maibaum,Berkely Mather;Milton Reid,Bob Simmons,Stanley Morgan,Bettina Le Beau,Marguerite LeWars,Robert Rietti,Martine Beswick,Chris Blackwell,Anthony Chinn,Stanley Morgan,Timothy Moxon,Anthony Dawson,Bernard Lee,Peter Burton,Reginald Carter,Byron Lee,Lois Maxwell,Sean Connery,Ursula Andress,John Kitzmiller,Zena Marshall,Jack Lord,Joseph Wiseman,Eunice Gayson;Ted Moore;Peter R. Hunt;Ken Adam;?;John Barry,Monty Norman;Albert R. Broccoli,Harry Saltzman;Eon Productions;United Artists Corporation,FandangoNow,Netflix;Jamaica,London;Jamaica,Pinewood Studios;105;Golden Globe Award for New Star of the Year – Actress;Golden Globe Award for New Star of the Year – Actress;?;?;?;?;78;7.2;152,531
Q1029212;Bernie;?;?;biographical film,drama,comedy film,black comedy film,crime film;?;United States of America;?;2012-12-13T00:00:00Z,2011-06-16T00:00:00Z;Richard Linklater;Richard Linklater,Skip Hollandsworth;Brandon Smith,Dale Dudley,Juli Erickson,Gabriel Luna,Merrilee McCommas,Jack Black,Shirley MacLaine,Matthew McConaughey;Dick Pope;Sandra Adair;?;?;Graham Reynolds;Celine Rattray,Richard Linklater,Dete Meserve,Matt Williams,David McFadzean;Castle Rock Entertainment,Mandalay Pictures;Netflix,Alchemy;Texas;Texas;104;New York Film Critics Circle Award for Best Supporting Actor,National Society of Film Critics Award for Best Supporting Actor;Independent Spirit Award for Best Film,Independent Spirit Award for Best Male Lead,Golden Globe Award for Best Actor – Motion Picture Musical or Comedy,Broadcast Film Critics Association Award for Best Comedy Film;?;?;?;?;75;6.8;57,824
Q103474;2001: A Space Odyssey;space exploration,cybernetic revolt,human evolution,artificial intelligence;?;epic film,mystery film,thriller film,space adventure film,adventure film,film based on literature,speculative fiction film,thriller;?;United States of America,United Kingdom;?;1968-04-03T00:00:00Z,1968-04-02T00:00:00Z,1968-04-11T00:00:00Z,1968-09-11T00:00:00Z,1968-07-26T00:00:00Z,1968-08-27T00:00:00Z,1968-05-12T00:00:00Z,1968-05-10T00:00:00Z;Stanley Kubrick;Stanley Kubrick,Arthur C. Clarke;Kenneth Kendall,Bill Weston,John Ashley,Terry Duggan,Arthur C. Clarke,Alan Gifford,Daniel Richter,Vivian Kubrick,Sean Sullivan,Gary Lockwood,Douglas Rain,Peter Schiff,Ann Gillis,Margaret Tyzack,William Sylvester,Robert Beatty,Ed Bishop,Leonard Rossiter,Keir Dullea;Geoffrey Unsworth;Ray Lovejoy;?;Edwin Hardy Amies;Richard Strauss,Johann Strauss II,György Ligeti,Aram Khachaturian;Stanley Kubrick;Metro-Goldwyn-Mayer;Metro-Goldwyn-Mayer,Netflix,Warner Bros. Home Entertainment,FandangoNow,Turner Entertainment;Moon,Jupiter,Discovery One,Africa,Tycho,Clavius Base;Amalgamated Studios,Tabernas Desert,Utah,Harris,Arizona,Shepperton Studios,Namibia,Monument Valley;143;National Board of Review: Top Ten Films,Kansas City Film Critics Circle Award for Best Film,National Film Registry,Hugo Award for Best Dramatic Presentation,Kansas City Film Critics Circle Award for Best Director,Academy Award for Best Visual Effects,BAFTA Award for Best Sound,David di Donatello for best foreign production;Academy Award for Best Writing, Original Screenplay,Academy Award for Best Director,Academy Award for Best Production Design,Directors Guild of America Award for Outstanding Directing – Feature Film,Academy Award for Best Visual Effects,Hugo Award for Best Dramatic Presentation,United Nations Awards,BAFTA Award for Best Film,BAFTA Award for Best Sound;190700000;10500000;?;?;84;8.3;613,870
Q10384115;Transcendence;artificial intelligence,mind uploading,human enhancement;?;dystopian film,thriller film,action film,drama,science fiction film;?;United States of America;?;2014-04-17T00:00:00Z,2014-04-10T00:00:00Z,2014-04-24T00:00:00Z,2014-01-01T00:00:00Z;Wally Pfister;Jack Paglen;Wallace Langham,Cillian Murphy,Falk Hentschel,Josh Stewart,Xander Berkeley,Elon Musk,Clifton Collins,Cole Hauser,Lukas Haas,Paul Bettany,Cory Hardrict,Olivia Dudley,Kate Mara,Morgan Freeman,Rebecca Hall,Johnny Depp;Jess Hall;David Rosenbloom;?;George L. Little;Mychael Danna;Aaron Ryder,Broderick Johnson,Andrew Kosove,Emma Thomas,David Valdes,Christopher Nolan;DMG Entertainment,Syncopy Inc.,Alcon Entertainment;ProVideo,FandangoNow,Netflix,01 Distribution;San Francisco;Los Angeles,California,New Mexico;119;?;?;103039258;100000000;?;?;42;6.3;218,565
Q104123;Pulp Fiction;organized crime;?;drama,thriller film,independent film,gangster film;?;United States of America;?;1994-05-21T00:00:00Z,1994-10-14T00:00:00Z,1994-11-03T00:00:00Z;Quentin Tarantino;Quentin Tarantino,Roger Avary;Bronagh Gallagher,Linda Kaye,Burr Steers,Susan Griffiths,Joseph Pilato,Karen Maruyama,Kathy Griffin,Lawrence Bender,Phil LaMarr,Brenda Hillhouse,Dick Miller,Emil Sitka,Michael Gilden,Amanda Plummer,Maria de Medeiros,Frank Whaley,Duane Whitaker,John Travolta,Julia Sweeney,Peter Greene,Harvey Keitel,Steve Buscemi,Quentin Tarantino,Uma Thurman,Bruce Willis,Angela Jones,Alexis Arquette,Samuel L. Jackson,Rosanna Arquette,Paul Calderón,Eric Stoltz,Ving Rhames,Stephen Hibbert,Christopher Walken,Tim Roth;Andrzej Sekuła;Sally Menke;David Wasco;Betsy Faith Heimann;?;Lawrence Bender;Miramax,A Band Apart,Jersey Films;Netflix,MOKÉP,FandangoNow;Los Angeles;Los Angeles;154;National Board of Review Award for Best Director,Independent Spirit Award for Best Director,National Film Registry,National Society of Film Critics Award for Best Screenplay,National Board of Review: Top Ten Films,Los Angeles Film Critics Association Award for Best Actor,National Society of Film Critics Award for Best Director,MTV Movie Award for Best Dance Sequence,Independent Spirit Award for Best Male Lead,Golden Globe Award for Best Screenplay,Independent Spirit Award for Best Screenplay,National Society of Film Critics Award for Best Film,Academy Award for Best Writing, Original Screenplay,BAFTA Award for Best Actor in a Supporting Role,Palme d'Or,Los Angeles Film Critics Association Award for Best Director,MTV Movie Award for Best Movie,London Film Critics Circle Award for Actor of the Year,David di Donatello for Best Foreign Actor,BAFTA Award for Best Original Screenplay,Los Angeles Film Critics Association Award for Best Film,National Board of Review Award for Best Film,New York Film Critics Circle Award for Best Director;Academy Award for Best Supporting Actress,BAFTA Award for Best Film,National Society of Film Critics Award for Best Film,Golden Globe Award for Best Screenplay,Academy Award for Best Supporting Actor,Academy Award for Best Actor,BAFTA Award for Best Original Screenplay,Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role,Japan Academy Prize for Outstanding Foreign Language Film,Golden Globe Award for Best Supporting Actress – Motion Picture,Independent Spirit Award for Best Screenplay,Golden Globe Award for Best Motion Picture – Drama,BAFTA Award for Best Editing,National Society of Film Critics Award for Best Supporting Actor,MTV Movie Award for Best Dance Sequence,Academy Award for Best Writing, Original Screenplay,BAFTA Award for Best Direction,Australian Film Institute Award for Best Foreign Film,MTV Movie Award for Best On-Screen Duo,David di Donatello for Best Foreign Actress,Independent Spirit Award for Best Male Lead,National Society of Film Critics Award for Best Actor,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role,Independent Spirit Award for Best Director,Golden Globe Award for Best Director,Independent Spirit Award for Best Supporting Male,Golden Globe Award for Best Supporting Actor – Motion Picture,Academy Award for Best Picture,MTV Movie Award for Best Female Performance,Academy Award for Best Director,MTV Movie Award for Best Male Performance,Directors Guild of America Award for Outstanding Directing – Feature Film,Academy Award for Best Film Editing,César Award for Best Foreign Film,National Society of Film Critics Award for Best Supporting Actress,BAFTA Award for Best Actor in a Supporting Role,David di Donatello for Best Foreign Actor,Golden Globe Award for Best Actor – Motion Picture Drama,National Society of Film Critics Award for Best Screenplay,National Society of Film Critics Award for Best Director,BAFTA Award for Best Actress in a Leading Role,MTV Movie Award for Best Movie,BAFTA Award for Best Actor in a Leading Role,BAFTA Award for Best Sound,Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role;213928762;8000000;Museum of Modern Art;?;94;8.9;1,861,736
